Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR
2007-03-06,217500,143300,64500,8794000,12600,49001799,8841000,656600,3247800,65700,4868500,778100,6971900,1847200,11633700,518400,86500,6459501,965600,6435400,1160000,1534000,72000,1433200,973900,88379100,6542400,2208900,621300,348200,86600,623450,138100,8010000,22866300,1511300,218300,162000,539400,1361400,4673300,5710200,21880400,19270900,5124800,2163900,1671500,5854500,2893900,1303900,54400,184800,0
2007-03-07,296500,330500,59000,6891800,2200,31410201,5780600,417700,1142200,15600,6392600,591100,3655200,1415400,7270800,568400,46900,4039299,1057200,5692200,1719000,1018100,157200,1592000,911300,54799000,3218100,173900,543100,120300,139800,853550,123500,5895000,8834200,3344100,134700,95000,320200,662800,2953800,8957300,43779800,11347600,2442900,1534600,1869900,2320400,1174800,1298800,58100,67100,0
2007-03-08,344800,261400,53200,7433400,11100,30964599,5260900,359500,2567600,30600,4745600,495100,2524100,822100,6604400,409800,224600,4878399,625800,4032900,996000,1312800,69600,1367600,1103300,73325200,3260500,62700,339500,123800,115400,792975,123900,8077000,634400,1607100,187100,137100,473400,1012800,1442800,4809800,22862600,19751100,2755600,2727600,1756100,2364300,1161000,835000,137800,114800,0
2007-03-09,309900,261700,46400,7846900,7300,25418901,6861600,195100,2794500,23500,3692100,370100,3409500,783600,6755200,112200,44200,4733301,576800,8673100,1137000,1028500,122700,1387100,851400,62551100,3306500,221300,191100,94800,188100,534675,153700,4332000,91287700,1835900,156300,125200,600200,666800,4196500,1993000,21716200,9548600,1305000,1112300,1509700,3345900,1147100,1256500,168700,41700,0
2007-03-12,224200,143700,35700,6285400,23500,19938399,5114900,321100,1730200,56200,3060000,235000,3550200,674500,10136000,212400,218400,5669100,776800,4051100,571000,888200,228000,885600,1352500,34471900,2338800,35000,559600,79100,123500,258850,44400,3209000,71906300,3300800,56700,78700,242000,447400,3199400,2374100,21377200,9877400,1483800,1563500,1086800,2303100,755500,401800,78200,5600,0
2007-03-13,344300,248600,52900,13374700,15200,41912601,5763800,888600,4852200,38100,6420700,270800,3764400,1133600,7700200,335400,169500,12180801,1065100,4097300,637000,1155500,160400,1930200,1651200,92674500,5463200,2203600,2208800,217500,129600,808850,205600,5261000,55995800,2945800,242300,127900,450600,1753600,4518700,7485000,29436900,44272100,2564800,1612500,1423300,3731700,1739700,853800,210700,12000,0
2007-03-14,468700,179100,47000,21999700,94400,45442299,9255300,1362500,3461200,127500,6744700,365500,6837800,1393200,13008100,486000,403300,8638101,1170700,7041900,1829000,2381100,100100,2173300,1214900,26151900,6868800,1654500,833300,144900,179900,1483950,491600,4516000,18911700,1974700,445100,111700,543000,986600,5896900,7021200,35189000,40430400,3330700,2899400,2611500,7796400,3423800,2652500,156400,8500,0
2007-03-15,201400,165300,23000,7757300,7400,29466999,4191700,432800,2206900,39700,3898600,250800,2442200,1215700,5006000,222600,130400,4238100,1054000,6455500,695000,840100,70100,732400,1060000,77534700,2030600,163200,1016400,74000,123600,709425,87900,9089000,16282600,1366800,178900,40900,328800,458000,2138900,5190300,19442200,30419000,2457300,2202100,1129400,4510100,1382000,738900,94000,6300,0
2007-03-16,204100,242300,15200,7679600,4200,22130301,4657300,960200,1384100,32100,2636100,262900,2546200,546700,4792300,311600,192700,4677801,1328200,4373100,661000,1024400,141100,829700,989500,71550100,2698500,771300,271200,199800,154800,441325,53400,3625000,2408600,2308400,128200,131400,190000,339200,2750700,6650000,27817200,18331900,1604300,2862100,1857300,2353200,858000,918600,111700,18000,0
2007-03-19,159600,147800,21500,6631100,3600,23926701,6259300,436700,2382300,33500,3036200,226100,1247100,767100,5303500,213200,58000,6682599,650500,2778900,1057000,798200,62000,999100,608500,53040200,3530800,184700,530100,108800,215900,364200,64600,2539000,84347500,1861100,58300,139300,519200,480800,2012500,4756600,21421000,15949300,3396100,858800,785600,3141200,776300,1142400,101500,221300,0
2007-03-20,446200,217900,41300,7246500,5100,14906001,4475600,197300,3175800,45900,5042700,465100,1667500,1234600,5775800,119000,60700,4677201,671300,3490300,668000,792500,54600,682100,784900,43064100,3720700,121200,425500,99700,146000,468900,81800,3295000,76412100,1924900,204200,67800,354600,1239800,2981100,2721000,24073000,13561000,1321000,1246400,1457100,3415800,2079000,1322700,106200,12600,0
2007-03-21,257600,156200,88100,9652600,22400,41382000,6491400,389100,3114000,124400,5717900,352400,4637200,800200,8583800,597600,311200,6230301,399200,4841900,844000,1193500,170700,1310600,1237700,75292100,4242000,256900,2120000,109000,119600,917850,249800,4177000,48164600,2551300,234100,80800,329400,563200,4394700,4954300,21365800,33417000,2939800,858200,1103200,4115600,1888700,1699100,86100,7900,0
2007-03-22,211700,252300,63100,6350200,35100,21536001,4093800,773800,1815600,46900,4432600,423600,2509400,1324300,4372700,399600,244000,3424599,584500,4324900,1145000,1476200,54200,1286800,635300,39364600,2630800,320100,1267100,67900,147100,668125,225600,4386000,12913300,2488000,158200,177300,301400,510000,4168600,1261900,33486800,16922700,2537800,1721700,2485400,4243600,1666700,2291400,104700,558200,0
